INLINE MagClassTable,Base Magic,Magic Growth,Magic Cap,Magic Promotion Bonus
None,0,0,30,0
Ephraim Lord,1,10,20,0
Eirika Lord,1,25,20,0
Ephraim Master Lord,2,10,20,1
Eirika Master Lord,2,20,20,2
Cavalier,0,0,20,0
Cavalier (F),0,0,20,0
Paladin,2,10,30,2
Paladin (F),2,10,30,2
Armour Knight,0,0,20,0
Armour Knight (F),0,0,20,0
General,0,0,30,0
General (F),0,0,20,0
Thief,1,5,20,0
Manakete,0,0,20,0
Mercenary,0,0,20,0
Mercenary (F),0,0,20,0
Hero,0,0,30,0
Hero (F),0,0,30,0
Myrmidon,5,35,20,0
Myrmidon (F),5,35,20,0
Swordmaster,8,30,30,1
Swordmaster (F),8,30,30,1
Assassin,1,0,30,0
Assassin (F),1,0,30,0
Archer,0,0,20,0
Archer (F),0,0,20,0
Sniper,1,10,30,1
Sniper (F),1,10,30,1
Ranger,0,0,30,0
Ranger (F),0,0,30,0
Wyvern Rider,0,0,20,0
Wyvern Rider (F),0,0,20,0
Wyvern Lord,0,0,30,0
Wyvern Lord (F),0,0,30,0
Wyvern Knight,1,5,30,1
Wyvern Knight (F),1,5,30,1
Mage,6,65,20,0
Mage (F),6,65,20,0
Sage,8,55,30,1
Sage (F),7,55,30,1
Mage Knight,7,50,30,2
Mage Knight (F),6,50,30,2
Bishop,7,40,30,2
Bishop (F),7,40,30,1
Shaman,10,60,20,0
Shaman (F),10,60,20,0
Druid,9,65,30,0
Druid (F),10,65,30,0
Summoner,8,60,30,0
Summoner (F),8,60,30,0
Rogue,3,25,20,3
Gorgon Egg,0,0,20,0
Great Knight,0,0,30,0
Great Knight (F),0,0,30,0
Recruit (2),0,0,20,0
Journeyman (3),0,0,20,0
Pupil (3),5,55,20,2
Recruit (3),0,0,20,0
Manakete,2,0,30,0
Manakete (F),2,0,30,0
Journeyman (1),0,0,20,0
Pupil (1),1,55,20,0
Fighter,0,0,20,0
Warrior,0,0,30,0
Brigand,0,0,20,0
Pirate,0,0,20,0
Berserker,0,0,30,0
Monk,5,35,20,0
Priest,4,35,20,0
Bard,1,45,20,0
Recruit (1),0,0,20,0
Pegasus Knight,1,10,20,0
Falcon Knight,3,30,30,3
Cleric,4,35,20,0
Troubadour,4,30,20,0
Valkyrie,7,40,30,2
Dancer,1,45,20,0
Soldier,0,0,20,0
Necromancer,9,55,20,0
Fleet,0,0,20,0
Phantom,0,0,20,0
Revenant,0,0,25,0
Entombed,0,0,30,0
Bonewalker,0,0,25,0
Bonewalker (Bow),0,0,25,0
Wight,0,0,30,0
Wight (Bow),0,0,30,0
Bael,0,0,25,0
Elder Bael,0,0,30,0
Cyclops,0,0,30,0
Mauthe Doog,0,0,25,0
Gwyllgi,0,0,30,0
Tarvos,0,0,25,0
Maelduin,0,0,30,0
Mogall,14,55,25,0
Arch Mogall,21,65,30,0
Gorgon,22,70,30,0
Gorgon Egg,0,0,20,0
Gargoyle,0,0,25,0
Deathgoyle,0,0,30,0
Dracozombie,1,40,30,0
Demon King,23,40,30,0
Archer on Ballista,0,0,20,0
Archer on Iron Ballista,0,0,20,0
Archer on Killer Ballista,0,0,20,0
Ballista,0,0,20,0
Iron Ballista,0,0,20,0
Killer Ballista,0,0,20,0
Civilian,0,0,20,0
Civilian (F),0,0,20,0
Civilian,0,0,20,0
Civilian (F),0,0,20,0
Civilian,0,0,20,0
Civilian (F),0,0,20,0
Peer,0,0,20,0
Queen,0,0,20,0
Prince,0,0,20,0
Queen,0,0,20,0
(empty),0,0,20,0
Fallen Prince,0,0,20,0
Tent,0,0,20,0
Pontifex,0,0,20,0
Dead Peer,0,0,20,0
Cyclops,0,0,30,0
Elder Bael,0,0,30,0
Journeyman (2),0,0,20,0
Pupil (2),2,55,20,1
Sky-Rat,2,40,20,0
None,0,0,20,0
None,0,0,20,0
None,0,0,20,0
None,0,0,20,0
None,0,0,20,0
None,0,0,20,0
None,0,0,20,0
None,0,0,20,0
None,0,0,20,0
None,0,0,20,0
None,0,0,20,0
None,0,0,20,0
None,0,0,20,0
None,0,0,20,0
None,0,0,20,0
None,0,0,20,0
None,0,0,20,0
None,0,0,20,0
None,0,0,20,0
None,0,0,20,0
None,0,0,20,0
None,0,0,20,0
None,0,0,20,0
